customer_id,concept_id,customer_comments,pain_point_statements,objection_themes,requested_capabilities
CUST-0029,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,,data export to Excel/CSV
CUST-0042,CONCEPT-001,East organization people information on mission various daughter respond draw how public feel first sell.,,data privacy and residency concerns; change management burden; vendor lock-in risk,role-based access control with SSO
CUST-0008,CONCEPT-001,The value proposition was unclear for our specific segment.,Patient intake forms are inconsistent across facilities.,change management burden,data export to Excel/CSV; simplified admin console
CUST-0005,CONCEPT-001,The value proposition was unclear for our specific segment.,Compliance audits require manual evidence gathering.,lack of internal ML expertise; vendor lock-in risk; unclear ROI timeline,on-premise deployment option; email-only notification mode; simplified admin console
CUST-0048,CONCEPT-001,Act perform none beyond Mrs media car give.,Patient intake forms are inconsistent across facilities.,budget already allocated elsewhere; change management burden; unclear ROI timeline,
CUST-0013,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,change management burden; data privacy and residency concerns; lack of internal ML expertise,email-only notification mode; simplified admin console; data export to Excel/CSV
CUST-0058,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,change management burden; vendor lock-in risk; integration complexity with existing ERP,data export to Excel/CSV; email-only notification mode
CUST-0069,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Compliance audits require manual evidence gathering.,integration complexity with existing ERP; budget already allocated elsewhere,multi-language document support; role-based access control with SSO
CUST-0023,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Patient intake forms are inconsistent across facilities.,unclear ROI timeline,email-only notification mode; data export to Excel/CSV; on-premise deployment option
CUST-0027,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Compliance audits require manual evidence gathering.,data privacy and residency concerns; budget already allocated elsewhere; lack of internal ML expertise,email-only notification mode; data export to Excel/CSV
CUST-0035,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Compliance audits require manual evidence gathering.,change management burden,email-only notification mode; on-premise deployment option; simplified admin console
CUST-0060,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Clinician documentation consumes 2 hours per patient.,,on-premise deployment option; email-only notification mode
CUST-0062,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Compliance audits require manual evidence gathering.,change management burden; budget already allocated elsewhere; lack of internal ML expertise,data export to Excel/CSV; email-only notification mode
CUST-0014,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Clinician documentation consumes 2 hours per patient.,accuracy not proven on our data; budget already allocated elsewhere; change management burden,simplified admin console
CUST-0026,CONCEPT-001,Competing internal project may cover similar ground.,Compliance audits require manual evidence gathering.,unclear ROI timeline; accuracy not proven on our data; data privacy and residency concerns,on-premise deployment option
CUST-0039,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,,email-only notification mode; data export to Excel/CSV; simplified admin console
CUST-0044,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Compliance audits require manual evidence gathering.,integration complexity with existing ERP; unclear ROI timeline,data export to Excel/CSV
CUST-0078,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Patient intake forms are inconsistent across facilities.,lack of internal ML expertise; budget already allocated elsewhere; accuracy not proven on our data,on-premise deployment option; simplified admin console
CUST-0017,CONCEPT-002,The value proposition was unclear for our specific segment.,Quality inspection is 100% manual and error-prone.,change management burden; data privacy and residency concerns; vendor lock-in risk,on-premise deployment option; simplified admin console
CUST-0079,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,integration complexity with existing ERP; data privacy and residency concerns; unclear ROI timeline,simplified admin console
CUST-0038,CONCEPT-002,The value proposition was unclear for our specific segment.,Unplanned downtime costs $50K per incident.,lack of internal ML expertise; budget already allocated elsewhere; data privacy and residency concerns,data export to Excel/CSV; on-premise deployment option
CUST-0023,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,budget already allocated elsewhere; change management burden; unclear ROI timeline,email-only notification mode
CUST-0012,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,vendor lock-in risk; accuracy not proven on our data; change management burden,simplified admin console; email-only notification mode
CUST-0025,CONCEPT-002,Accuracy on edge cases was disappointing during the live demo.,Unplanned downtime costs $50K per incident.,change management burden; accuracy not proven on our data; budget already allocated elsewhere,on-premise deployment option; email-only notification mode; simplified admin console
CUST-0051,CONCEPT-002,Competing internal project may cover similar ground.,Quality inspection is 100% manual and error-prone.,accuracy not proven on our data; integration complexity with existing ERP,data export to Excel/CSV; on-premise deployment option; simplified admin console
CUST-0069,CONCEPT-002,Competing internal project may cover similar ground.,Unplanned downtime costs $50K per incident.,change management burden; data privacy and residency concerns,on-premise deployment option; simplified admin console
CUST-0030,CONCEPT-002,These hard citizen street region particularly would pressure.,,integration complexity with existing ERP; data privacy and residency concerns,simplified admin console
CUST-0063,CONCEPT-002,The value proposition was unclear for our specific segment.,Spare parts inventory is overstocked by 40%.,vendor lock-in risk; data privacy and residency concerns,data export to Excel/CSV; simplified admin console
CUST-0014,CONCEPT-002,Property never use billion there enough threat.,Unplanned downtime costs $50K per incident.,integration complexity with existing ERP; change management burden,role-based access control with SSO; multi-language document support
CUST-0028,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,vendor lock-in risk; change management burden,
