portfolio_rank,concept_id,concept_name,industry,problem_area,recommended_outcome,readiness_score,confidence_score,ai_narrative,key_evidence,shap_demand_intensity,shap_engagement_depth_norm,shap_feasibility_risk,shap_repeatability,shap_segment_similarity,shap_revenue_potential,shap_strategic_fit,shap_confidence,shap_follow_up_rate,shap_avg_pilot_interest,shap_avg_objection_count_text,shap_capability_request_rate,shap_positive_comment_ratio
1,CONCEPT-003,Intelligent Document Router,Financial Services,Document Intelligence,Customer Pilot,64.2,0.811,"Recommended Outcome: Customer Pilot. Evidence: moderate pilot interest (score: 3.6), moderate customer follow-up rate (score: 4.7), moderate demand intensity (score: 4.4).",deep sandbox engagement (norm=0.88); demand consistent across segments; high follow-up rate (47%); negative customer sentiment (19%); high capability request rate (94%),0.0671,0.0442,0.0592,0.0541,0.0426,0.0428,0.0123,0.0058,0.0701,0.0881,0.061,0.0281,0.006
2,CONCEPT-005,Smart Workforce Copilot,Public Sector,Workforce Productivity,Customer Pilot,63.8,0.902,"Recommended Outcome: Customer Pilot. Evidence: strong customer follow-up rate (score: 5.6), elevated implementation risk (score: 2.4), moderate pilot interest (score: 4.2), despite strong capability request rate (score: 8.7, but weakens prediction).",strong demand intensity (0.50); deep sandbox engagement (norm=1.00); demand consistent across segments; solid revenue potential (0.42); favorable feasibility profile (0.24),0.0567,0.0428,0.0666,0.0489,0.0366,0.064,0.0334,0.0097,0.0686,0.0665,0.0303,-0.0046,-0.0029
3,CONCEPT-012,Customer Resolution Engine,Healthcare,Customer Service Automation,Customer Pilot,62.0,0.928,"Recommended Outcome: Customer Pilot. Evidence: moderate pilot interest (score: 3.7), strong customer follow-up rate (score: 5.7), low customer objection volume (score: 2.6).",strong demand intensity (0.50); deep sandbox engagement (norm=0.51); repeatable usage patterns (0.30); solid revenue potential (0.44); favorable feasibility profile (0.23),0.0535,0.0565,0.0595,0.0498,0.0045,0.0574,0.0238,0.0121,0.0721,0.0851,0.0643,0.0154,0.0074
4,CONCEPT-011,Predictive Revenue Assistant,Telecommunications,Revenue Forecasting,Reusable Asset,58.6,0.779,"Recommended Outcome: Reusable Asset. Evidence: strong customer follow-up rate (score: 6.5), weak usage repeatability (score: 3.5), strong sandbox engagement depth (score: 7.3).",strong demand intensity (0.47); deep sandbox engagement (norm=0.73); repeatable usage patterns (0.35); demand consistent across segments; solid revenue potential (0.43),0.0203,0.0422,0.0283,0.0506,0.0246,0.0407,0.0367,0.0106,0.059,0.0354,0.032,0.0262,0.0228
5,CONCEPT-010,Workflow Intelligence Platform,Energy & Utilities,Workforce Productivity,Customer Pilot,55.0,0.751,"Recommended Outcome: Customer Pilot. Evidence: moderate pilot interest (score: 3.6), elevated implementation risk (score: 4.1), moderate customer objection volume (score: 3.6), despite weak positive comment ratio (score: 0.0, but weakens prediction).",demand consistent across segments; solid revenue potential (0.44); negative customer sentiment (0%); high capability request rate (93%),0.0613,0.0355,0.068,0.0302,0.0341,0.0547,0.0289,0.004,0.0426,0.084,0.0614,0.0281,-0.0013
6,CONCEPT-001,Revenue Intelligence Platform,Healthcare,Revenue Forecasting,Archive,53.1,0.821,"Recommended Outcome: Archive. Evidence: elevated implementation risk (score: 5.9), weak revenue potential (score: 3.1), weak pilot interest (score: 2.1).",minimal sandbox engagement; demand consistent across segments; elevated feasibility risk (0.59); negative customer sentiment (0%); high capability request rate (94%),0.0665,0.0595,0.1134,0.0309,0.0448,0.0701,0.0039,0.0272,0.0523,0.0673,0.0337,0.0335,0.0415
7,CONCEPT-008,Smart Maintenance Copilot,Energy & Utilities,Predictive Maintenance,Archive,50.6,0.756,"Recommended Outcome: Archive. Evidence: elevated implementation risk (score: 6.1), weak revenue potential (score: 2.3), weak demand intensity (score: 2.1).",weak demand intensity (0.21); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.23); elevated feasibility risk (0.61),0.0677,0.0642,0.1115,0.0501,0.0448,0.0774,0.0158,0.0287,0.0671,0.0632,0.0361,0.0317,0.0415
8,CONCEPT-004,Anomaly Alert System,Manufacturing,Predictive Maintenance,Archive,50.5,0.901,"Recommended Outcome: Archive. Evidence: elevated implementation risk (score: 5.8), weak sandbox engagement depth (score: 1.2), weak revenue potential (score: 3.4), despite strong evidence confidence (score: 10.0, but weakens prediction).",demand consistent across segments; elevated feasibility risk (0.58); high follow-up rate (45%); negative customer sentiment (4%); high capability request rate (96%),0.0296,0.0659,0.1131,0.0165,0.0348,0.0658,0.0166,-0.0079,0.0202,0.0346,0.0361,0.0362,0.0333
9,CONCEPT-007,Fraud Investigation Assistant,Financial Services,Fraud Detection,Archive,50.2,0.76,"Recommended Outcome: Archive. Evidence: elevated implementation risk (score: 6.1), weak revenue potential (score: 1.9), weak demand intensity (score: 1.7), despite strong strategic fit (score: 8.6, but weakens prediction).",weak demand intensity (0.17); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.61),0.0687,0.0619,0.1097,0.0482,0.0411,0.0781,-0.0094,0.029,0.0631,0.0627,0.0353,0.0341,0.0425
10,CONCEPT-002,Logistics Optimization Engine,Manufacturing,Supply Chain Optimization,Archive,48.0,0.915,"Recommended Outcome: Archive. Evidence: elevated implementation risk (score: 6.2), weak revenue potential (score: 1.9), weak demand intensity (score: 1.5).",weak demand intensity (0.15); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.62),0.0673,0.0643,0.1115,0.0488,0.0448,0.0759,0.0142,0.0154,0.0671,0.0644,0.0361,0.0335,0.0415
11,CONCEPT-009,Productivity Insight Engine,Public Sector,Workforce Productivity,Archive,46.2,0.693,"Recommended Outcome: Archive. Evidence: weak revenue potential (score: 2.6), weak demand intensity (score: 2.3), weak customer follow-up rate (score: 0.0), despite low customer objection volume (score: 3.5).",weak demand intensity (0.23); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.26); limited evidence confidence (0.56),0.07,0.058,0.0582,0.051,0.0427,0.0788,0.008,0.0272,0.0672,0.0601,-0.0092,0.0228,0.035
12,CONCEPT-006,Customer Insight Platform,Telecommunications,Customer Service Automation,Incubate,45.1,0.771,"Recommended Outcome: Incubate. Evidence: strong cross-segment demand consistency (score: 8.9), elevated implementation risk (score: 4.3), weak revenue potential (score: 2.9).",minimal sandbox engagement; negative customer sentiment (14%); high capability request rate (100%),0.0307,0.024,0.0546,0.0272,0.0649,0.0368,0.0122,0.0231,0.0263,0.0284,0.024,0.0242,0.0278
